species,x,y,date,name,accuracy,source,quality
Fraxinus latifolia,-122.632038,37.967602,2023-06-22,Oregon ash,90,NA,high
Fraxinus latifolia,-121.782239,39.717631,2023-05-26,Oregon ash,457,NA,high
Fraxinus latifolia,-118.476283,35.961953,2023-05-23,Oregon ash,NA,NA,high
Fraxinus latifolia,-121.567666,39.686932,2023-05-17,Oregon ash,142,NA,high
Fraxinus latifolia,-118.449049,35.782658,2023-05-08,Oregon ash,204,NA,high
Fraxinus latifolia,-121.7774,39.7712,2023-04-06,Oregon ash,7854,NA,high
Fraxinus latifolia,-122.068433,37.418007,2022-09-28,Oregon ash,7854,SCVWD Vegetation,high
Fraxinus latifolia,-121.56939,39.683134,2022-08-07,Oregon ash,64,NA,high
Fraxinus latifolia,-123.42212,41.378478,2022-06-08,Oregon ash,314,California Academy of Sciences,high
Fraxinus latifolia,-122.036258,40.106399,2022-05-07,Oregon ash,128,NA,high
Fraxinus latifolia,-122.62715,38.11836,2022-04-18,Oregon ash,50,Marin County Parks data pro,high
Fraxinus latifolia,-117.227389,33.048401,2022-03-04,Oregon ash,NA,NA,high
Fraxinus latifolia,-121.572717,39.494787,2021-10-29,Oregon ash,185,NA,high
Fraxinus latifolia,-121.543245,38.822258,2021-10-29,Oregon ash,28274333,NA,low
Fraxinus latifolia,-122.2398,37.40995,2021-10-16,Oregon ash,314,Jasper Ridge Biological Preserve (JRBP/JROH),high
Fraxinus latifolia,-121.524704,38.869237,2021-10-05,Oregon ash,129,NA,high
Fraxinus latifolia,-121.574177,39.70926,2021-09-26,Oregon ash,195,NA,high
Fraxinus latifolia,-121.570553,39.68296,2021-09-09,Oregon ash,974,NA,high
Fraxinus latifolia,-121.514675,39.559994,2021-06-30,Oregon ash,74,NA,high
Fraxinus latifolia,-122.674428,38.021667,2021-05-25,Oregon ash,48,Marin County Parks data pro,high
Fraxinus latifolia,-122.004,37.2888,2021-05-11,Oregon ash,7854,SCVWD Vegetation,high
Fraxinus latifolia,-118.868544,35.441371,2021-04-21,Oregon ash,314,CNPS Kern Chapter,high
Fraxinus latifolia,-122.1395,37.4559,2021-04-20,Oregon ash,7854,SCVWD Vegetation,high
Fraxinus latifolia,-121.933047,36.98234,2021-03-02,Oregon ash,1520,iNaturalist,high
Fraxinus latifolia,-121.780447,39.766515,2021-02-07,Oregon ash,2827,NA,high
Fraxinus latifolia,-121.350805,38.937554,2020-12-28,Oregon ash,176,NA,high
Fraxinus latifolia,-121.395835,38.940306,2020-12-10,Oregon ash,309,NA,high
Fraxinus latifolia,-122.950928,38.683392,2020-12-05,Oregon ash,50,iNaturalist,high
Fraxinus latifolia,-121.788791,39.734395,2020-11-22,Oregon ash,57,NA,high
Fraxinus latifolia,-121.304139,38.61459,2020-11-07,Oregon ash,4071,iNaturalist,high
Fraxinus latifolia,-122.301787,37.882562,2020-11-01,Oregon ash,722,Friends of Five Creeks,high
Fraxinus latifolia,-122.301861,37.882574,2020-11-01,Oregon ash,180,Friends of Five Creeks,high
Fraxinus latifolia,-122.303612,37.882276,2020-10-31,Oregon ash,354,Friends of Five Creeks,high
Fraxinus latifolia,-121.965953,39.745244,2020-10-30,Oregon ash,573,NA,high
Fraxinus latifolia,-122.1356,37.4541,2020-10-14,Oregon ash,7854,SCVWD Vegetation,high
Fraxinus latifolia,-123.011191,38.821904,2020-09-14,Oregon ash,3421,iNaturalist,high
Fraxinus latifolia,-121.833863,39.326247,2020-09-12,Oregon ash,3019,iNaturalist,high
Fraxinus latifolia,-123.987039,40.442356,2020-09-05,Oregon ash,12076,iNaturalist,medium
Fraxinus latifolia,-121.791741,39.743437,2020-08-29,Oregon ash,52,NA,high
Fraxinus latifolia,-117.74413,33.91765,2020-08-28,Oregon ash,201,NA,high
Fraxinus latifolia,-122.789054,38.604611,2020-08-09,Oregon ash,245,NA,high
Fraxinus latifolia,-121.845435,39.776698,2020-06-30,Oregon ash,753,NA,high
Fraxinus latifolia,-119.013734,36.055982,2020-06-28,Oregon ash,352,NA,high
Fraxinus latifolia,-122.616602,38.444808,2020-06-16,Oregon ash,314,iNaturalist,high
Fraxinus latifolia,-122.442329,40.707908,2020-06-13,Oregon ash,7854,Julie's data upload,high
