species,common_name,x,y
Fraxinus latifolia,Oregon ash,-122.632038,37.967602
Fraxinus latifolia,Oregon ash,-121.782239,39.717631
Fraxinus latifolia,Oregon ash,-118.476283,35.961953
Fraxinus latifolia,Oregon ash,-121.567666,39.686932
Fraxinus latifolia,Oregon ash,-118.449049,35.782658
Fraxinus latifolia,Oregon ash,-121.7774,39.7712
Fraxinus latifolia,Oregon ash,-122.068433,37.418007
Fraxinus latifolia,Oregon ash,-121.56939,39.683134
Fraxinus latifolia,Oregon ash,-122.036258,40.106399
Fraxinus latifolia,Oregon ash,-122.62715,38.11836
Fraxinus latifolia,Oregon ash,-121.572717,39.494787
Fraxinus latifolia,Oregon ash,-122.2398,37.40995
Fraxinus latifolia,Oregon ash,-121.524704,38.869237
Fraxinus latifolia,Oregon ash,-121.574177,39.70926
Fraxinus latifolia,Oregon ash,-121.570553,39.68296
Fraxinus latifolia,Oregon ash,-121.514675,39.559994
Fraxinus latifolia,Oregon ash,-122.674428,38.021667
Fraxinus latifolia,Oregon ash,-122.004,37.2888
Fraxinus latifolia,Oregon ash,-118.868544,35.441371
Fraxinus latifolia,Oregon ash,-122.1395,37.4559
Fraxinus latifolia,Oregon ash,-121.933047,36.98234
Fraxinus latifolia,Oregon ash,-121.780447,39.766515
Fraxinus latifolia,Oregon ash,-121.350805,38.937554
Fraxinus latifolia,Oregon ash,-121.395835,38.940306
Fraxinus latifolia,Oregon ash,-122.950928,38.683392
Fraxinus latifolia,Oregon ash,-121.788791,39.734395
Fraxinus latifolia,Oregon ash,-121.304139,38.61459
Fraxinus latifolia,Oregon ash,-122.301787,37.882562
Fraxinus latifolia,Oregon ash,-122.301861,37.882574
Fraxinus latifolia,Oregon ash,-122.303612,37.882276
Fraxinus latifolia,Oregon ash,-121.965953,39.745244
Fraxinus latifolia,Oregon ash,-122.1356,37.4541
Fraxinus latifolia,Oregon ash,-123.011191,38.821904
Fraxinus latifolia,Oregon ash,-121.833863,39.326247
Fraxinus latifolia,Oregon ash,-121.791741,39.743437
Fraxinus latifolia,Oregon ash,-117.74413,33.91765
Fraxinus latifolia,Oregon ash,-122.789054,38.604611
Fraxinus latifolia,Oregon ash,-121.845435,39.776698
Fraxinus latifolia,Oregon ash,-119.013734,36.055982
Fraxinus latifolia,Oregon ash,-122.616602,38.444808
Fraxinus latifolia,Oregon ash,-122.348092,37.542993
Fraxinus latifolia,Oregon ash,-121.971052,39.752457
Fraxinus latifolia,Oregon ash,-122.356683,37.53047
Fraxinus latifolia,Oregon ash,-122.091195,39.911233
Fraxinus latifolia,Oregon ash,-121.78147,39.724923
Fraxinus latifolia,Oregon ash,-121.570589,39.829313
Fraxinus latifolia,Oregon ash,-121.81863,37.29146
Fraxinus latifolia,Oregon ash,-121.439934,38.263512
Fraxinus latifolia,Oregon ash,-121.30093,39.952058
Fraxinus latifolia,Oregon ash,-121.274377,39.997505
Fraxinus latifolia,Oregon ash,-121.32718,38.60102
Fraxinus latifolia,Oregon ash,-121.815761,39.734721
Fraxinus latifolia,Oregon ash,-121.670041,39.747483
Fraxinus latifolia,Oregon ash,-122.395044,37.561586
Fraxinus latifolia,Oregon ash,-121.577023,39.751521
Fraxinus latifolia,Oregon ash,-121.438198,38.92612
Fraxinus latifolia,Oregon ash,-121.626208,39.7651
Fraxinus latifolia,Oregon ash,-121.57508,36.99169
Fraxinus latifolia,Oregon ash,-123.632,39.654786
Fraxinus latifolia,Oregon ash,-122.304922,37.882001
Fraxinus latifolia,Oregon ash,-122.304415,37.88221
Fraxinus latifolia,Oregon ash,-122.304276,37.882174
Fraxinus latifolia,Oregon ash,-122.303676,37.882294
Fraxinus latifolia,Oregon ash,-122.615238,37.978317
Fraxinus latifolia,Oregon ash,-123.350448,39.432633
Fraxinus latifolia,Oregon ash,-122.16009,37.349598
Fraxinus latifolia,Oregon ash,-121.169485,38.684886
Fraxinus latifolia,Oregon ash,-119.021669,36.056136
Fraxinus latifolia,Oregon ash,-122.302885,37.882381
Fraxinus latifolia,Oregon ash,-119.028638,36.056557
Fraxinus latifolia,Oregon ash,-122.16009,37.349598
Fraxinus latifolia,Oregon ash,-121.57411,36.99208
Fraxinus latifolia,Oregon ash,-121.169276,38.685191
Fraxinus latifolia,Oregon ash,-121.210742,38.452945
Fraxinus latifolia,Oregon ash,-122.299091,37.88288
Fraxinus latifolia,Oregon ash,-121.206695,38.452546
Fraxinus latifolia,Oregon ash,-121.206443,38.452184
Fraxinus latifolia,Oregon ash,-121.205028,38.451158
Fraxinus latifolia,Oregon ash,-121.169706,38.685364
Fraxinus latifolia,Oregon ash,-122.301429,37.882636
Fraxinus latifolia,Oregon ash,-122.30403,37.882161
Fraxinus latifolia,Oregon ash,-121.169377,38.68483
Fraxinus latifolia,Oregon ash,-121.778226,39.697689
Fraxinus latifolia,Oregon ash,-121.168153,38.684793
Fraxinus latifolia,Oregon ash,-121.169357,38.685049
Fraxinus latifolia,Oregon ash,-119.388056,37.080475
Fraxinus latifolia,Oregon ash,-119.388986,37.08026
Fraxinus latifolia,Oregon ash,-122.160212,37.34961
Fraxinus latifolia,Oregon ash,-122.612821,38.116478
Fraxinus latifolia,Oregon ash,-121.300734,39.950996
Fraxinus latifolia,Oregon ash,-119.181814,36.328221
Fraxinus latifolia,Oregon ash,-121.240754,40.007354
Fraxinus latifolia,Oregon ash,-122.18392,37.43464
Fraxinus latifolia,Oregon ash,-122.851877,38.403638
Fraxinus latifolia,Oregon ash,-121.311427,39.250954
Fraxinus latifolia,Oregon ash,-121.631994,38.555268
Fraxinus latifolia,Oregon ash,-121.616751,39.423684
