"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"mg221263","dipetala","-121.940625","37.884389","Two petaled ash","775","2023-08-13","","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg221262","dipetala","-121.940566","37.883767","Two petaled ash","296","2023-08-13","","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:168763916","dipetala","-118.466295","34.378763","Two petaled ash","28","2023-06-21","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg207358","dipetala","-121.779442","40.351568","Two petaled ash","64","2023-06-01","","Tehama","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io92306","dipetala","-118.39196","34.36066","Two petaled ash","50","2023-05-30","","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:163578905","dipetala","-118.717095","34.588828","Two petaled ash","26015","2023-05-24","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:163589431","dipetala","-118.559403","34.365322","Two petaled ash","50","2023-05-24","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:160812666","dipetala","-118.763488","34.489187","Two petaled ash","615","2023-05-09","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po248265","dipetala","-122.732313","40.157956","Two petaled ash","","2023-05-08","","Tehama","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:157559325","dipetala","-118.54469","34.336908","Two petaled ash","6361","2023-04-28","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:156340197","dipetala","-118.4663","34.378795","Two petaled ash","28","2023-04-23","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:156153551","dipetala","-118.54045","34.340295","Two petaled ash","50","2023-04-22","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:154512225","dipetala","-118.439278","34.377044","Two petaled ash","1963","2023-04-11","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:154512248","dipetala","-118.439406","34.375739","Two petaled ash","254","2023-04-11","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io84612","dipetala","-117.559062","33.666895","Two petaled ash","50","2023-03-30","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:152324199","dipetala","-118.566502","34.345937","Two petaled ash","114608","2023-03-25","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:152325497","dipetala","-118.57796","34.351669","Two petaled ash","416248","2023-03-25","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:152325643","dipetala","-118.575543","34.349226","Two petaled ash","212371","2023-03-25","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:151557971","dipetala","-118.914875","34.455233","Two petaled ash","28","2023-03-17","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:151177068","dipetala","-118.918722","34.454197","Two petaled ash","78","2023-03-12","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:148092766","dipetala","-118.53122","34.329594","Two petaled ash","11309","2023-02-03","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg185488","dipetala","-120.715902","36.333862","Two petaled ash","67","2022-10-01","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg184181","dipetala","-120.549737","36.350255","Two petaled ash","158","2022-09-16","","Fresno","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:135324563","dipetala","-118.447655","34.3931","Two petaled ash","78","2022-09-16","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po237331","dipetala","-118.779031","34.111748","Two petaled ash","7854","2022-09-16","","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg184099","dipetala","-121.620629","39.870849","Two petaled ash","187","2022-09-15","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:135121219","dipetala","-118.637695","34.626092","Two petaled ash","314","2022-09-14","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io71866","dipetala","-117.535078","33.673978","Two petaled ash","50","2022-07-07","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:123429561","dipetala","-118.35206","34.353005","Two petaled ash","64242","2022-06-25","iNaturalist","Los Angeles","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io67220","dipetala","-117.555278","33.663055","Two petaled ash","50","2022-05-15","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io67066","dipetala","-117.64661","33.74523","Two petaled ash","50","2022-05-12","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg165123","dipetala","-120.848556","36.3638","Two petaled ash","372","2022-05-11","","San Benito","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po230752","dipetala","-121.796061","37.845346","Two petaled ash","","2022-05-05","East Bay Chapter CNPS Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:111168739","dipetala","-119.252953","34.556962","Two petaled ash","50","2022-04-10","iNaturalist","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po229409","dipetala","-121.794111","37.840294","Two petaled ash","","2022-04-01","East Bay Chapter CNPS Unusual Plants","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:108810217","dipetala","-117.06517","33.966138","Two petaled ash","","2022-03-17","iNaturalist","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
