"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"mg211974","latifolia","-122.632038","37.967602","Oregon ash","90","2023-06-22","","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg205885","latifolia","-121.782239","39.717631","Oregon ash","457","2023-05-26","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po249671","latifolia","-118.476283","35.961953","Oregon ash","","2023-05-23","","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg204438","latifolia","-121.567666","39.686932","Oregon ash","142","2023-05-17","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg203341","latifolia","-118.449049","35.782658","Oregon ash","204","2023-05-08","","Kern","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu30451","latifolia","-121.7774","39.7712","Oregon ash","7854","2023-04-06","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu25978","latifolia","-122.068433","37.418007","Oregon ash","7854","2022-09-28","SCVWD Vegetation ","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg178838","latifolia","-121.56939","39.683134","Oregon ash","64","2022-08-07","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po239817","latifolia","-123.42212","41.378478","Oregon ash","314","2022-06-08","California Academy of Sciences","Siskiyou","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg163970","latifolia","-122.036258","40.106399","Oregon ash","128","2022-05-07","","Tehama","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io64777","latifolia","-122.62715","38.11836","Oregon ash","50","2022-04-18","Marin County Parks data pro","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po226162","latifolia","-117.227389","33.048401","Oregon ash","","2022-03-04","","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg153582","latifolia","-121.572717","39.494787","Oregon ash","185","2021-10-29","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg153565","latifolia","-121.543245","38.822258","Oregon ash","28274333","2021-10-29","","Sutter","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po197324","latifolia","-122.2398","37.40995","Oregon ash","314","2021-10-16","Jasper Ridge Biological Preserve (JRBP/JROH)","San Mateo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg152287","latifolia","-121.524704","38.869237","Oregon ash","129","2021-10-05","","Sutter","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg151676","latifolia","-121.574177","39.70926","Oregon ash","195","2021-09-26","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg150820","latifolia","-121.570553","39.68296","Oregon ash","974","2021-09-09","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg141867","latifolia","-121.514675","39.559994","Oregon ash","74","2021-06-30","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg137044","latifolia","-122.674428","38.021667","Oregon ash","48","2021-05-25","Marin County Parks data pro","Marin","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu16024","latifolia","-122.004","37.2888","Oregon ash","7854","2021-05-11","SCVWD Vegetation ","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po189254","latifolia","-118.868544","35.441371","Oregon ash","314","2021-04-21","CNPS Kern Chapter","Kern","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu14975","latifolia","-122.1395","37.4559","Oregon ash","7854","2021-04-20","SCVWD Vegetation ","San Mateo","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:70488593","latifolia","-121.933047","36.98234","Oregon ash","1520","2021-03-02","iNaturalist","Santa Cruz","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po181542","latifolia","-121.780447","39.766515","Oregon ash","2827","2021-02-07","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg124829","latifolia","-121.350805","38.937554","Oregon ash","176","2020-12-28","","Placer","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg124486","latifolia","-121.395835","38.940306","Oregon ash","309","2020-12-10","","Placer","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:66168916","latifolia","-122.950928","38.683392","Oregon ash","50","2020-12-05","iNaturalist","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg124177","latifolia","-121.788791","39.734395","Oregon ash","57","2020-11-22","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:64461481","latifolia","-121.304139","38.61459","Oregon ash","4071","2020-11-07","iNaturalist","Sacramento","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg123510","latifolia","-122.301787","37.882562","Oregon ash","722","2020-11-01","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg123508","latifolia","-122.301861","37.882574","Oregon ash","180","2020-11-01","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg123485","latifolia","-122.303612","37.882276","Oregon ash","354","2020-10-31","Friends of Five Creeks","Alameda","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg123441","latifolia","-121.965953","39.745244","Oregon ash","573","2020-10-30","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu8905","latifolia","-122.1356","37.4541","Oregon ash","7854","2020-10-14","SCVWD Vegetation ","Santa Clara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:59661302","latifolia","-123.011191","38.821904","Oregon ash","3421","2020-09-14","iNaturalist","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:59509610","latifolia","-121.833863","39.326247","Oregon ash","3019","2020-09-12","iNaturalist","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:58637736","latifolia","-123.987039","40.442356","Oregon ash","12076","2020-09-05","iNaturalist","Humboldt","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg121166","latifolia","-121.791741","39.743437","Oregon ash","52","2020-08-29","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"io36655","latifolia","-117.74413","33.91765","Oregon ash","201","2020-08-28","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg120057","latifolia","-122.789054","38.604611","Oregon ash","245","2020-08-09","","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg117334","latifolia","-121.845435","39.776698","Oregon ash","753","2020-06-30","","Butte","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg117079","latifolia","-119.013734","36.055982","Oregon ash","352","2020-06-28","","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:49844304","latifolia","-122.616602","38.444808","Oregon ash","314","2020-06-16","iNaturalist","Sonoma","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
