"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"mu21150","velutina","-117.606629","33.718912","Arizona ash","50","2022-01-01","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu20953","velutina","-117.5364","33.6744","Arizona ash","50","2021-12-19","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu9988","velutina","-117.6089","33.7178","Arizona ash","100","2020-12-10","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu9987","velutina","-117.6169","33.7181","Arizona ash","100","2020-12-10","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:59549351","velutina","-117.063066","32.688761","Arizona ash","1520","2020-09-13","iNaturalist","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:51426543","velutina","-116.654938","33.287433","Arizona ash","78","2020-06-29","iNaturalist","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mu4978","velutina","-117.5121","33.5676","Arizona ash","100","2020-06-21","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:47493189","velutina","-121.712147","37.922745","Arizona ash","17671","2020-05-26","iNaturalist","Contra Costa","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:48199585","velutina","-118.466819","35.895728","Arizona ash","804","2020-05-26","iNaturalist","Tulare","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:46628022","velutina","-119.662842","34.446872","Arizona ash","2827","2020-05-17","iNaturalist","Santa Barbara","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg104343","velutina","-121.821989","37.972549","Arizona ash","","2019-11-09","","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:34309649","velutina","-118.471503","34.175734","Arizona ash","153","2019-10-13","iNaturalist","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"gp18750","velutina","-117.52141","33.67505","Arizona ash","100","2019-09-22","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"po137312","velutina","-119.020065","34.183046","Arizona ash","50","2019-06-29","","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"mg86155","velutina","-121.828621","37.974501","Arizona ash","","2019-05-25","","Contra Costa","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo85920","velutina","-118.367058","34.268024","Arizona ash","","2018-04-22","","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:9502786","velutina","-117.191704","32.842993","Arizona ash","2290","2018-01-15","iNaturalist","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo79297","velutina","-119.932043","36.843346","Arizona ash","","2017-11-18","","Fresno","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:8571110","velutina","-117.081288","32.743146","Arizona ash","706","2017-10-26","iNaturalist","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"in:5561120","velutina","-116.13344","34.036625","Arizona ash","12","2017-03-26","iNaturalist","San Bernardino","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo58144","velutina","-117.212431","33.416754","Arizona ash","","2016-11-19","","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo57923","velutina","-117.233727","33.41051","Arizona ash","","2016-11-17","","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo57671","velutina","-117.236889","33.408841","Arizona ash","","2016-11-10","","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56196","velutina","-116.418758","33.578285","Arizona ash","","2016-10-15","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo56063","velutina","-116.416747","33.575289","Arizona ash","","2016-10-15","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo55479","velutina","-116.396193","33.561285","Arizona ash","","2016-10-04","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo55049","velutina","-116.416669","33.574861","Arizona ash","","2016-09-25","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo54540","velutina","-116.465422","33.582119","Arizona ash","","2016-09-16","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo54159","velutina","-117.250305","33.409451","Arizona ash","","2016-09-10","","San Diego","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo52928","velutina","-119.791855","36.878544","Arizona ash","","2016-07-24","","Madera","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"cbo50860","velutina","-117.373624","33.509081","Arizona ash","","2016-04-24","","Riverside","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"oe5901","velutina","-117.501391","33.563696","Arizona ash","50","2013-11-10","","Orange","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"oe2943","velutina","-118.302884","34.13566","Arizona ash","50","2011-07-18","","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"jgr24175","velutina","-116.65","32.7523","Arizona ash","","2007-04-07","","San Diego","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb913-81","velutina","-118.90011","34.218784","Arizona ash","","2001-05-23","UCLA Herbarium","Ventura","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb907-208","velutina","-118.635756","34.13242","Arizona ash","","1988-07-12","UCLA Herbarium","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"jgr1141","velutina","-116.227785","33.431421","Arizona ash","","1982-06-13","","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"xr328501","velutina","-117.26667","33.5","Arizona ash","","1978-01-01","G.F. Hrusa checklists","Riverside","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb911-104","velutina","-118.706896","34.08411","Arizona ash","","1963-05-01","UCLA Herbarium","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb911-106","velutina","-118.71067","34.083156","Arizona ash","","1963-05-01","UCLA Herbarium","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb913-182","velutina","-118.798519","34.122119","Arizona ash","","1959-03-22","UCLA Herbarium","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"wb911-105","velutina","-118.724304","34.087474","Arizona ash","","1932-05-30","UCLA Herbarium","Los Angeles","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 10, 2023."
"UCR0099990","pennsylvanica","-116.82917","32.56083","Arizona ash","50000000","2003-05-03","UC Riverside","San Diego","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099982","pennsylvanica","-116.75","32.59167","Arizona ash","50000000","2005-03-15","UC Riverside","San Diego","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"930995","pennsylvanica","-116.829167","32.560833","Arizona ash","50000000","2003-05-03","Cal BG","San Diego","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099941","pennsylvanica","-116.78972","33.89917","Arizona ash","50000000","2003-05-28","UC Riverside","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0090155","pennsylvanica","-117.46861","33.59278","Arizona ash","50000000","2006-07-20","UC Riverside","Orange","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099937","pennsylvanica","-116.82639","33.95889","Arizona ash","50000000","1998-07-21","UC Riverside","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099936","pennsylvanica","-116.86056","33.97222","Arizona ash","50000000","1998-07-21","UC Riverside","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099934","pennsylvanica","-117.3825","33.99639","Arizona ash","50000000","2009-08-11","UC Riverside","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
